,loss,lr,weight_decay,nheads,dim,num_points,num_layers,dim_feedforward
0,0.915730118751526,0.01,0.01,32,64,4,8,2048
1,0.2076510488986969,0.01,0.01,4,64,4,2,2048
2,0.6743136644363403,0.01,0.01,2,64,256,2,2048
3,0.8810269832611084,0.01,0.01,64,64,16,4,2048
4,0.8806555867195129,0.01,0.01,2,64,4,8,2048
5,0.3047056496143341,0.01,0.01,32,64,4,4,2048
6,1.0,0.01,0.01,16,64,64,8,2048
7,1.0000001192092896,0.01,0.01,2,64,16,8,2048
8,0.3333688676357269,0.01,0.01,8,64,4,4,2048
9,0.902123212814331,0.01,0.01,64,64,64,2,2048
10,0.5669382810592651,0.01,0.01,4,64,4,1,2048
11,0.903306245803833,0.01,0.01,32,64,256,4,2048
12,0.8935802578926086,0.01,0.01,8,64,256,4,2048
13,0.8725553750991821,0.01,0.01,8,64,256,2,2048
14,0.6534636616706848,0.01,0.01,32,64,4,1,2048
15,0.8784469366073608,0.01,0.01,16,64,16,1,2048
16,1.0000001192092896,0.01,0.01,8,64,16,8,2048
17,0.9434396624565125,0.01,0.01,64,64,256,4,2048
18,0.2523974180221557,0.01,0.01,8,64,4,2,2048
19,0.8229354619979858,0.01,0.01,8,64,16,2,2048
20,0.937925100326538,0.01,0.01,32,64,64,4,2048
21,0.8920246958732605,0.01,0.01,4,64,64,4,2048
22,0.0613535493612289,0.01,0.01,1,64,16,1,2048
23,0.8728540539741516,0.01,0.01,4,64,64,1,2048
24,0.9341049194335938,0.01,0.01,64,64,64,4,2048
25,0.8996595740318298,0.01,0.01,32,64,64,2,2048
26,0.5550199151039124,0.01,0.01,2,64,64,2,2048
27,0.3864197134971618,0.01,0.01,2,64,16,2,2048
28,0.7205652594566345,0.01,0.01,2,64,16,1,2048
29,1.0001187324523926,0.01,0.01,16,64,256,8,2048
30,1.0001349449157717,0.01,0.01,64,64,64,8,2048
31,0.6170246601104736,0.01,0.01,8,64,4,1,2048
32,0.8808442950248718,0.01,0.01,8,64,64,2,2048
33,0.6422035098075867,0.01,0.01,16,64,4,1,2048
34,0.0552566349506378,0.01,0.01,1,64,64,1,2048
35,0.8800190091133118,0.01,0.01,64,64,16,2,2048
36,0.3731813132762909,0.01,0.01,4,64,4,4,2048
37,0.905750572681427,0.01,0.01,32,64,16,4,2048
38,0.5280067324638367,0.01,0.01,32,64,4,2,2048
39,0.9525925517082214,0.01,0.01,8,64,64,4,2048
40,0.3682732284069061,0.01,0.01,2,64,4,2,2048
41,0.5396010279655457,0.01,0.01,16,64,4,2,2048
42,0.7413251399993896,0.01,0.01,16,64,16,4,2048
43,0.8911798000335693,0.01,0.01,8,64,64,1,2048
44,0.8778913617134094,0.01,0.01,16,64,256,2,2048
45,0.8428202271461487,0.01,0.01,4,64,256,2,2048
46,0.4590419828891754,0.01,0.01,2,64,4,1,2048
47,1.0000001192092896,0.01,0.01,4,64,16,8,2048
48,0.3645841181278229,0.01,0.01,1,64,4,2,2048
49,1.0000001192092896,0.01,0.01,32,64,16,8,2048
50,0.3265731036663055,0.01,0.01,1,64,4,4,2048
51,0.8631826043128967,0.01,0.01,8,64,16,1,2048
52,0.9210978150367736,0.01,0.01,16,64,4,8,2048
53,1.000053882598877,0.01,0.01,64,64,16,8,2048
54,0.6181140542030334,0.01,0.01,4,64,16,2,2048
55,0.8000656366348267,0.01,0.01,2,64,64,1,2048
56,1.0000001192092896,0.01,0.01,1,64,16,8,2048
57,0.8630416393280029,0.01,0.01,16,64,16,2,2048
58,1.000011324882507,0.01,0.01,1,64,64,8,2048
59,0.9060850739479064,0.01,0.01,4,64,256,4,2048
60,0.9707576036453248,0.01,0.01,16,64,64,4,2048
61,0.1236559599637985,0.01,0.01,1,64,64,2,2048
62,0.9010729789733888,0.01,0.01,32,64,64,1,2048
63,0.8771564960479736,0.01,0.01,16,64,256,1,2048
64,0.8807792663574219,0.01,0.01,64,64,256,1,2048
65,0.8810591697692871,0.01,0.01,64,64,256,2,2048
66,1.0000306367874146,0.01,0.01,8,64,64,8,2048
67,1.0000152587890625,0.01,0.01,2,64,64,8,2048
68,0.8649436235427856,0.01,0.01,4,64,256,1,2048
69,0.9279922246932985,0.01,0.01,8,64,4,8,2048
70,0.9024113416671752,0.01,0.01,64,64,64,1,2048
71,0.8736713528633118,0.01,0.01,32,64,16,2,2048
72,0.8853080868721008,0.01,0.01,32,64,16,1,2048
73,0.88492751121521,0.01,0.01,1,64,4,8,2048
74,0.8253480792045593,0.01,0.01,1,64,16,4,2048
75,0.8267834186553955,0.01,0.01,4,64,16,1,2048
76,0.8981359601020813,0.01,0.01,16,64,64,1,2048
77,0.7901066541671753,0.01,0.01,4,64,64,2,2048
78,0.852892279624939,0.01,0.01,2,64,256,4,2048
79,0.8446153998374939,0.01,0.01,2,64,16,4,2048
80,0.3057123124599457,0.01,0.01,16,64,4,4,2048
81,0.4104062914848327,0.01,0.01,64,64,4,4,2048
82,0.746480405330658,0.01,0.01,4,64,16,4,2048
83,0.5834964513778687,0.01,0.01,1,64,256,4,2048
84,0.0477642528712749,0.01,0.01,1,64,256,1,2048
85,0.8214340209960938,0.01,0.01,2,64,256,1,2048
86,0.8885663747787476,0.01,0.01,64,64,16,1,2048
87,1.0,0.01,0.01,16,64,16,8,2048
88,0.5505059361457825,0.01,0.01,1,64,64,4,2048
89,1.000085473060608,0.01,0.01,32,64,64,8,2048
90,1.0000205039978027,0.01,0.01,4,64,64,8,2048
91,0.6448367834091187,0.01,0.01,2,64,64,4,2048
92,0.8742343187332153,0.01,0.01,8,64,256,1,2048
93,0.5145881175994873,0.01,0.01,64,64,4,2,2048
94,0.6584739089012146,0.01,0.01,64,64,4,1,2048
95,0.8950573205947876,0.01,0.01,16,64,64,2,2048
