H,Squared Error
1,0.758412089664489
2,0.6751608802005649
4,0.6082219504751265
8,0.559669497422874
16,0.5325342062860727
32,0.5161353428848088
64,0.5054097785614431
128,0.49888595775701106
256,0.4936686542350799
512,0.48330143583007157
1024,0.46587003860622644
2048,0.43264710367657244
4096,0.38555668806657195
8192,0.3252039817161858
16384,0.2682003548834473
