dim,H,seed,Squared Error
4,8,0,0.41211363207548857
4,4,0,0.5516082979738712
4,2,0,0.5715321693569422
4,1,0,0.6902324575930834
64,16384,1,0.27906127367168665
64,8192,1,0.3357680840417743
64,4096,1,0.3961442708969116
64,2048,1,0.4373940974473953
64,1024,1,0.4691560622304678
64,512,1,0.48410318698734045
64,256,1,0.4934209305793047
64,128,1,0.4967615958303213
64,64,1,0.5053680408746004
64,32,1,0.513071115128696
64,16,1,0.5300891827791929
64,8,1,0.556885676458478
64,4,1,0.6020056307315826
64,2,1,0.6631079968065023
64,1,1,0.7470004018396139
32,16384,1,0.2059305626899004
32,8192,1,0.22942828480154276
32,4096,1,0.27347743045538664
32,2048,1,0.32787491101771593
32,1024,1,0.39175918605178595
32,512,1,0.44032335840165615
32,256,1,0.46823650784790516
32,128,1,0.488943113014102
32,64,1,0.5006750477477908
32,32,1,0.5137010533362627
32,16,1,0.5288519095629454
32,8,1,0.5550270918756723
32,4,1,0.6006375532597303
32,2,1,0.6580038219690323
32,1,1,0.7447313815355301
16,16384,1,0.17840918898582458
16,8192,1,0.18559104343876243
16,4096,1,0.1992640974931419
16,2048,1,0.2203371999785304
16,1024,1,0.2612935993820429
16,512,1,0.33143824618309736
16,256,1,0.3921715170145035
16,128,1,0.4355959314852953
16,64,1,0.46791336964815855
16,32,1,0.48702392540872097
16,16,1,0.5147306174039841
16,8,1,0.5550194643437862
16,4,1,0.58842608705163
16,2,1,0.6625115498900414
16,1,1,0.7540742661803961
8,16384,1,0.16019157506525517
8,8192,1,0.16240920452401042
8,4096,1,0.1657362966798246
8,2048,1,0.17275334056466818
8,1024,1,0.18624014034867287
8,512,1,0.21190003212541342
8,256,1,0.24631915846839547
8,128,1,0.29672897700220346
8,64,1,0.36650146823376417
8,32,1,0.4188165720552206
8,16,1,0.4995930166915059
8,8,1,0.5233545117080212
8,4,1,0.5895914398133755
8,2,1,0.6762012131512165
8,1,1,0.7667559552937746
4,16384,1,0.08800223376601934
4,8192,1,0.09815970645286143
4,4096,1,0.11343082576058805
4,2048,1,0.12466635112650692
4,1024,1,0.1352742228191346
4,512,1,0.14308212790638208
4,256,1,0.15713742980733514
4,128,1,0.17901622597128153
4,64,1,0.20502224983647466
4,32,1,0.2956004813313484
4,16,1,0.3749115113168955
4,8,1,0.48422236181795597
4,4,1,0.592912720516324
4,2,1,0.7280707973986864
4,1,1,0.8127687126398087
64,16384,2,0.27699080016463995
64,8192,2,0.33935526572167873
64,4096,2,0.3948754481971264
